Testimonials,평가
"Add New Testimonial","새로운 사용 후기 추가"
"Save Testimonial","사용 후기 저장"
"Delete Testimonial","사용 후기 삭제"
"Edit Testimonial '%1'","후기 편집 '%1'"
"New Testimonial","새로운 사용 후기"
"Testimonial Information","사용 후기 정보"
Facebook,"페이스 북"
Twitter,트위터
"No rating","등급 없음"
star,스타
stars,별
"Profile Image","프로필 이미지"
"Display in widget","위젯에 표시"
"Created date","생성된 날짜"
"Submit Your Testimonial","당신의 평가를 제출"
"Please select item(s).","항목을 선택 하십시오."
"Testimonial was deleted.","사용 후기가 삭제되었습니다."
"Can't find a testimonial to delete.","삭제할 평가를 찾을 수 없습니다."
"Manage Testimonials","사용 후기 관리"
"This testimonial no longer exists.","이 평가는 더 이상 존재하지 않습니다."
"Edit Testimonial","후기 편집"
"Testimonial has been saved.","사용 후기가 저장되었습니다."
"Something went wrong while saving the testimonial.","평가를 저장하는 동안 뭔가 잘못되었습니다."
"Awaiting approval","승인 대기 중"
"Submit your testimonial","당신의 평가를 제출"
"Profile image","프로필 이미지"
"Back to testimonials","후기로 돌아가기"
"Find us on","우리를 찾기"
"Placed on","위에 놓습니다."
"No testimonials found.","평가가 발견되지 않았습니다."
"Show more testimonials","더 많은 사용 후기 표시"
"Read more","더 보기"
"Read less","더 적게 읽기"
"View all testimonials","모든 평가 보기"
"Store Review","매장 리뷰"
"out of",밖으로
votes,투표
"Testimonial data:","사용 후기 데이터:"
"User Name:","사용자 이름:"
"User Email:","사용자 이메일:"
"Store View:","저장소 보기:"
Message:,메시지:
Company:,회사:
Website:,웹사이트:
Facebook:,"페이스 북:"
Twitter:,트위터:
Rating:,평가:
"Has image:","이미지가 있습니다:"
Status:,상태:
"Automatically approve testimonials","자동으로 사용 후기 승인"
"Add link to top links","상단 링크에 링크 추가"
"Add link to footer links","바닥글 링크에 링크 추가"
"Testimonials List","사용 후기 목록"
"Testimonials list layout","사용 후기 목록 레이아웃"
"Testimonials per page","페이지당 사용 후기"
"Image width","이미지 너비"
"Image height","이미지 높이"
"Image placeholder","이미지 자리 표시자"
"Allowed file types:PNG, GIF, JPG, JPEG, SVG.","허용된 파일 유형: PNG, GIF, JPG, JPEG, SVG."
"Show user email in testimonials list","사용 후기 목록에 사용자 이메일 표시"
"Testimonials Submit Form","평가서 제출 양식"
"Testimonials form layout","사용 후기 양식 레이아웃"
"Enable company field","회사 필드 사용"
"Enable website field","웹 사이트 필드 사용"
"Enable twitter field","트위터 필드 사용"
"Enable facebook field","페이스 북 필드 사용"
"Message shown after testimonial sent","평가 전송 후 표시되는 메시지"
"Administrator Email Notifications","관리자 이메일 알림"
"Email notification for admin on new testimonial","새 사용 후기에 대한 관리자 이메일 알림"
"Send email from","에서 전자 메일 보내기"
"Administrator email","관리자 이메일"
"Administrator email subject","관리자 이메일 제목"
"Administrator email template","관리자 이메일 템플릿"
"Testimonials: List of testimonials (for side panel)","사용 후기: 평가 목록 (측면 패널용)"
"Hide block title and link","블록 제목 및 링크 숨기기"
"Number of testimonials","추천 수"
"Show next testimonial after, ms","후 다음 평가를 표시, MS"
"Change animation duration, ms","애니메이션 지속 시간 변경, ms"
"Testimonials: Review block (for side panel)","평가: 검토 블록 (측면 패널에 대 한)"
"Testimonials: Submit Form","추천: 양식 제출"
"Testimonials: Full testimonials list","사용 후기: 전체 사용 후기 목록"
"Delete items","항목 삭제"
"Enable items","항목 사용"
"Disable items","항목 사용 안 함"
"Created Date","생성된 날짜"
"What Clients Say","클라이언트가 말하는 것"
