Testimonials,Отзывы
"Add New Testimonial","Добавить новый отзыв"
"Save Testimonial","Сохранить Отзыв"
"Delete Testimonial","Удаление Отзыв"
"Edit Testimonial '%1'","Отодытная свидетельская перелога '%1'"
"New Testimonial","Новый отзыв"
"Testimonial Information","Информация об отзыве"
Facebook,Facebook
Twitter,Twitter
"No rating","Нет рейтинга"
star,Звездочные
stars,Звезды
"Profile Image","Изображение профиля"
"Display in widget","Дисплей в виджете"
"Created date","Созданная дата"
"Submit Your Testimonial","Отправить свидетельство"
"Please select item(s).","Пожалуйста, выберите товар (ы)."
"Testimonial was deleted.","Свидетельство было удалено."
"Can't find a testimonial to delete.","Не усомнитесь в том, что можно удалить отзыв."
"Manage Testimonials","Управление Отзывы"
"This testimonial no longer exists.","Это свидетельство больше не существует."
"Edit Testimonial","Отодывание Отзыв"
"Testimonial has been saved.","Свидетельство было сохранено."
"Something went wrong while saving the testimonial.","Что-то пошло не так, сохраняя свидетельство."
"Awaiting approval","В ожидании утверждения"
"Submit your testimonial","Отправить свое свидетельство"
"Profile image","Изображение профиля"
"Back to testimonials","Вернуться к отзывам"
"Find us on","Найдите нас на"
"Placed on","Размещено на"
"No testimonials found.","Отзывы не найдены."
"Show more testimonials","Показать больше отзывов"
"Read more","Читать далее"
"Read less","Читать меньше"
"View all testimonials","Посмотреть все отзывы"
"Store Review","Обзор магазина"
"out of",из
votes,Голосов
"Testimonial data:","Отзывные данные:"
"User Name:","Имя пользователя:"
"User Email:","Электронная почта пользователя:"
"Store View:","Вид магазина:"
Message:,Сообщение:
Company:,Компании:
Website:,Сайт:
Facebook:,Facebook:
Twitter:,Twitter:
Rating:,Рейтинг:
"Has image:","Имеет изображение:"
Status:,Статус:
"Automatically approve testimonials","Автоматически утвердить отзывы"
"Add link to top links","Добавление ссылки на верхние ссылки"
"Add link to footer links","Добавить ссылку на колонтитул ссылки"
"Testimonials List","Отзывы Список"
"Testimonials list layout","Макет списка отзывов"
"Testimonials per page","Отзывы на странице"
"Image width","Ширина изображения"
"Image height","Высота изображения"
"Image placeholder","Заполнитель изображения"
"Allowed file types:PNG, GIF, JPG, JPEG, SVG.","Разрешенные типы файлов:PNG, GIF, JPG, JPEG, SVG."
"Show user email in testimonials list","Показать электронную почту пользователя в списке отзывов"
"Testimonials Submit Form","Отзывы Представить форму"
"Testimonials form layout","Отзывы образуют макет"
"Enable company field","Включить поле компании"
"Enable website field","Включить поле веб-сайта"
"Enable twitter field","Включить поле Twitter"
"Enable facebook field","Включить поле facebook"
"Message shown after testimonial sent","Сообщение, отображеное после отправки свидетельских показаний"
"Administrator Email Notifications","Уведомления администратора электронной почты"
"Email notification for admin on new testimonial","Уведомление по электронной почте для админа на новый отзыв"
"Send email from","Отправить электронное письмо от"
"Administrator email","Электронная почта администратора"
"Administrator email subject","Тема электронной почты администратора"
"Administrator email template","Шаблон электронной почты администратора"
"Testimonials: List of testimonials (for side panel)","Отзывы: Список отзывов (для боковой панели)"
"Hide block title and link","Скрыть название блока и ссылку"
"Number of testimonials","Количество отзывов"
"Show next testimonial after, ms","Показать следующий отзыв после, мс"
"Change animation duration, ms","Изменение продолжительности анимации, ms"
"Testimonials: Review block (for side panel)","Отзывы: Обзор блока (для боковой панели)"
"Testimonials: Submit Form","Отзывы: Отправить форму"
"Testimonials: Full testimonials list","Отзывы: Полный список отзывов"
"Delete items","Удаление элементов"
"Enable items","Включить элементы"
"Disable items","Отогидываемые предметы"
"Created Date","Созданная дата"
"What Clients Say","Что говорят клиенты"
